"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Farnell"
"C101","1","10uF","","","","Capacitor_SMD:CP_Elec_5x5.9","~","2346378"
"C102,C103","2","100n","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","2495443"
"C104","1","1u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","2357339"
"C105","1","100nF","","","","","~","2495443"
"C106","1","100nF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","2495443"
"C107,C108,C112,C113,C117,C118,C122,C123,C127,C128","10","18p","","","","Capacitor_SMD:C_0603_1608Metric","~","2905608"
"C109,C110,C114,C115,C119,C120,C124,C125,C129,C130","10","100n","","","","Capacitor_SMD:C_1206_3216Metric","~","2495443"
"D101","1","MBRS340","","","","Diode_SMD:D_SMC","https://www.onsemi.com/download/data-sheet/pdf/mbrs340t3-d.pdf","2824888"
"D102","1","SMAJ33A","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","4065376"
"F101","1","2A","","","","Fuse:Fuse_Bourns_MF-SM_7.98x5.44mm","~","3605928"
"J101","1","Conn_01x10_Pin","","","","10153118-116KALF:AMPHENOL_10153118-116KALF","~","3765468"
"J102","1","Conn_02x16_Top_Bottom","","","","Connector_IDC:IDC-Header_2x13-1MP_P2.54mm_Latch_Horizontal","~","0000"
"J103","1","01x04","","","","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~","3133790"
"J104","1","10159549-116KALF","","","Excluded from board","","","3765470"
"J105,J106,J107,J108,J109,J110,J111,J112,J113,J114,J115,J116,J117,J118,J119,J120","16","10153126-4T2LF","","","Excluded from board","","~","3765472"
"J121","1","01x04","","","Excluded from board","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~","4244971"
"J122,J123,J124,J125","4","Conn_01x01_Pin","","","Excluded from board","","~","1248246"
"L101","1","4.7uH","","","","Inductor_SMD:L_Ferrocore_DLG-0403","~",""
"NT102","1","COM_GND","","Excluded from BOM","","","~",""
"R101","1","R","","","","","~","1469856"
"U101","1","TLS850C2TEV33","","","","Package_TO_SOT_SMD:TO-252-4","https://fscdn.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/bdxxfc0wefj-e.pdf","3680235"
"U102","1","ESP32-S3-DEVKITC-1U-N8R2","","","","ESP32-S3-DEVKIT:XCVR_ESP32-S3-DEVKITC-1U-N8R2","",""
"U103,U105,U107,U109,U111","5","MCP2515","","","","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf","1292239"
"U104,U106,U108,U110,U112","5","SN65HVD230","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf","3124671"
"Y101,Y102,Y103,Y104,Y105","5","16000000","","","","Crystal:Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm","~","2832079"
