"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J103";"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal";1;"02x02";;;
2;"J102";"IDC-Header_2x13-1MP_P2.54mm_Latch_Horizontal";1;"Conn_02x16_Top_Bottom";;;
3;"J101";"AMPHENOL_10153118-116KALF";1;"Conn_01x10_Pin";;;
4;"U112,U104,U110,U108,U106";"SOIC-8_3.9x4.9mm_P1.27mm";5;"SN65HVD230";;;
5;"C130,C109,C121,C126,C115,C124,C114,C119,C111,C116,C129,C110,C125,C131,C120";"C_1206_3216Metric";15;"100n";;;
6;"R106,R103,R104,R105,R102";"R_1206_3216Metric";5;"10k 1206";;;
7;"C108,C128,C107,C117,C122,C112,C127,C123,C118,C113";"C_0603_1608Metric";10;"22p";;;
8;"Y103,Y105,Y101,Y104,Y102";"Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm";5;"16000000";;;
9;"U107,U109,U105,U111,U103";"SOIC-18W_7.5x11.6mm_P1.27mm";5;"MCP2515-xSO";;;
10;"C102,C103";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"100n";;;
11;"U101";"TO-252-4";1;"TLS850C2TEV33";;;
12;"U102";"XCVR_ESP32-S3-DEVKITC-1U-N8R2";1;"ESP32-S3-DEVKITC-1U-N8R2";;;
13;"F101";"Fuse_Bourns_MF-SM_7.98x5.44mm";1;"2A";;;
14;"D101";"D_SMC";1;"MBRS340";;;
15;"C104";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1u";;;
16;"C106";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100nF";;;
17;"C101";"CP_Elec_5x5.9";1;"10uF";;;
18;"L101";"L_Ferrocore_DLG-0403";1;"4.7uH";;;
19;"D102";"D_SMA";1;"SMAJ33A";;;
