"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C344,C343,C354,C313,C324,C323,C324,C354,C333,C343,C323,C333,C334,C353,C353,C314,C344,C314,C334,C313";"C_1206_3216Metric";20;"100n";;;
2;"U352,U312,U342,U342,U352,U322,U332,U332,U312,U322";"SOIC-8_3.9x4.9mm_P1.27mm";10;"SN65HVD230";;;
3;"C312,C352,C311,C331,C331,C342,C341,C312,C321,C351,C321,C322,C341,C342,C351,C332,C352,C332,C322,C311";"C_0603_1608Metric";20;"18p";;;
4;"Y331,Y351,Y311,Y341,Y311,Y321,Y351,Y341,Y321,Y331";"Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm";10;"16000000";;;
5;"U331,U321,U341,U341,U351,U321,U351,U311,U311,U331";"SOIC-18W_7.5x11.6mm_P1.27mm";10;"MCP2515";;;
6;"J301";"AMPHENOL_10153118-116KALF";1;"Conn_01x10_Pin";;;
7;"C102,C103";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"100n";;;
8;"U101";"TO-252-4";1;"TLS850C2TEV33";;;
9;"U201";"XCVR_ESP32-S3-DEVKITC-1U-N8R2";1;"ESP32-S3-DEVKITC-1U-N8R2";;;
10;"F101";"Fuse_Bourns_MF-SM_7.98x5.44mm";1;"2A";;;
11;"D101";"D_SMC";1;"MBRS340";;;
12;"C104";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1u";;;
13;"J101";"TE_MATE-N-LOK_1-770968-x_2x02_P4.14mm_Horizontal";1;"01x04";;;
14;"J401";"IDC-Header_2x13-1MP_P2.54mm_Latch_Horizontal";1;"Conn_02x16_Top_Bottom";;;
15;"C202";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100nF";;;
16;"C101";"CP_Elec_5x5.9";1;"10uF";;;
17;"L101";"L_Radial_D7.5mm_P5.00mm_Fastron_07P";1;"4.7uH";;;
18;"D102";"D_SMA";1;"SMAJ33A";;;
